TepA1,TepA2,TepA3,TepA4,TepA5,TepA6,TepA7,TepA8,TepB1,TepB2,TepC1,TepC2,TepC3,TepC4,TepD1,TepD2,TepD3,TepE1,OchA1,OchA2,OchB1,OchB2,OchB3,OchB4,OchC1,OchC2,OchC3,OchC4,OchE1,OchE2,AnaA1,AnaA2,AnaA3,AnaA4,AnaB1,AnaB2,AnaB3,AnaB4,AnaC1,AnaC2,AnaC3,AnaC4,AnaD1,AnaD2,AnaD3,XanA1,XanB1,XanB2,XanB3,XanB4,XanB5,XanC1,XanC2,XanC3,XanD1,XanD2,XanD3,XanE1,DipA1,DipB1,DipB2,DipB3,DipB4,DipB5,DipB6,DipB7,DipC1,DipC2,DipD1,DipD2,DipD3,BueA1,BueB1,BueB2,BueB3,BueC1,Roc1,Roc2,Roc3
28,184,40,0,88,85,0,0,197,193,353,236,96,102,34,61,94,103,0,0,124,0,0,0,0,0,36,331,340,71,212,208,205,182,664,932,1093,83,582,0,91,89,205,190,223,297,112,216,0,107,0,0,78,0,56,83,255,45,44,0,0,459,0,0,0,0,25,0,0,77,0,0,110,0,0,37,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,37,0,168,0,0,97,0,0,0,81,7,0,488,144,0,146,422,144,0,679,449,416,138,743,169,226,40,230,229,204,225,325,374,254,61,200,0,109,131,133,132,741,276,0,19,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
0,0,0,0,0,0,77,0,0,0,0,104,110,196,91,185,0,137,0,0,154,0,0,0,74,10,139,256,113,220,0,80,78,248,177,287,306,99,219,435,138,169,199,70,177,132,301,606,68,0,77,0,83,116,249,91,225,739,172,0,0,107,0,0,0,0,0,0,0,18,0,0,114,0,0,0,0,0,0
0,0,0,0,0,0,70,0,30,0,19,165,60,63,60,96,40,37,0,0,434,0,0,0,53,0,18,194,33,0,0,163,97,64,345,164,94,94,430,602,30,47,114,105,0,300,232,749,130,87,0,0,177,485,109,127,228,360,174,0,0,413,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,49,26,230,135,61,87,0,212,96,655,294,356,238,157,0,99,0,125,0,81,248,813,606,172,177,173,0,263,0,255,100,298,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,29,0,0,0,0,0,38,0,0,0,0,0,61,153,52,43,74,0,0,25,0,0,0,0,0,123,187,106,0,456,172,195,182,396,417,163,210,614,306,193,104,95,270,157,432,0,383,0,0,0,0,0,35,0,0,41,99,0,0,0,646,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,51,0,114,0,0,68,0,0,0,0,65,600,68,43,0,123,115,166,1352,137,445,368,0,289,362,0,0,69,63,223,254,239,205,60,0,0,0,0,0,0,0,29,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,41,0,0,0,0,0,31,0,0,17,41,0,0,327,71,0,0,0,0,0,0,0,0,0,43,0,79,52,134,52,72,65,136,103,78,83,0,348,0,76,75,125,107,66,124,334,626,0,266,68,0,140,211,227,282,312,115,0,0,0,155,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
0,26,0,0,0,0,0,0,94,140,147,0,0,0,0,0,0,90,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,685,589,224,0,170,281,86,829,139,0,343,24,0,104,0,0,446,0,0,23
162,131,189,146,184,204,0,338,235,371,322,289,87,97,162,105,320,126,29,0,52,0,0,0,157,0,0,31,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,51,0,0,0,0,0,9,0,8,0,0,0,0,0,0,14,0,0,0,113,213,24,119,142,0,0,0
